,평점,본문
44,5,아이둘인데 두개 사서 하나씩 줬어요 3살 4살 애들인데 직접 바르려고 하네요끈적이지않게 잘 발리고 물로 씻어도 잘 닦이는것 같아요 많이 바를땐 세안제 쓰고요재구매 예정입니다아이둘인데 두개 사서 하나씩 줬어요 3살 4살 애들인데 직접 바르려고 하네요끈적이지않게 잘 발리고 물로 씻어도 잘 닦이는것 같아요 많이 바를땐 세안제 쓰고요재구매 예정입니다2개의 포토리뷰2개의 포토리뷰
45,5,평이좋아서 구매해봅니다평이좋아서 구매해봅니다
46,5,항상잘쓰고있어요!!항상잘쓰고있어요!!
47,3,아이가 하두 화장하는거 사달라해서요걸루 사줬네요ㅡㅜㅡ일단은 아이용이라니까믿고 써보게 나두는 중입니다나쁘진 않은거 같아요썬쿠션이라햇빛차딘된다니아이가 하두 화장하는거 사달라해서요걸루 사줬네요ㅡㅜㅡ일단은 아이용이라니까믿고 써보게 나두는 중입니다나쁘진 않은거 같아요썬쿠션이라햇빛차딘된다니ㅅㅇㅅ
48,5,좋다 얘기들어서샀어요 트러블없이 잘 쓰면 좋겠어요좋다 얘기들어서샀어요 트러블없이 잘 쓰면 좋겠어요
49,5,얼굴톤도 살짝 환해지면서 자외선 차단도 되고 좋응것같아요ㅎㅎ 사용도 편합니다!ㅎ얼굴톤도 살짝 환해지면서 자외선 차단도 되고 좋응것같아요ㅎㅎ 사용도 편합니다!ㅎ
50,5,지인추천으로 구매했는데 백탁도 없고 싹 쓰며들고 맘에 듭니다지인추천으로 구매했는데 백탁도 없고 싹 쓰며들고 맘에 듭니다2개의 포토리뷰2개의 포토리뷰
51,3,애기들 껀데 바르니 백태현상이 있네요  촉촉하긴한데   이렇게 되면  애기들 눈에 흘러 들어갈것 같아 보여요 애기들 껀데 바르니 백태현상이 있네요  촉촉하긴한데   이렇게 되면  애기들 눈에 흘러 들어갈것 같아 보여요 2개의 포토리뷰2개의 포토리뷰
52,5,배송 품질 모든면에서 만족합니다배송 품질 모든면에서 만족합니다
53,5,4살 아이 손에 딱 맞아요 쿠션 닫을때 딱 소리가 나서 아이에게 소리 날때까지 꼭 눌러 덮으라고 하니 잘하네요 아이 살성이 약한데 트러블 없이 잘 쓰고 있어요4살 아이 손에 딱 맞아요 쿠션 닫을때 딱 소리가 나서 아이에게 소리 날때까지 꼭 눌러 덮으라고 하니 잘하네요 아이 살성이 약한데 트러블 없이 잘 쓰고 있어요2개의 포토리뷰2개의 포토리뷰
54,3,아이들이좋아하고 물에잘 씻기는느낌입니다아이들이좋아하고 물에잘 씻기는느낌입니다2개의 포토리뷰2개의 포토리뷰
55,5,발림성도 좋고 휴대하기도 편해서 좋아요발림성도 좋고 휴대하기도 편해서 좋아요
56,4,향 괜찮고 아직까지 트러블 나는 것이 없어서 괜찮은 것 같애요향 괜찮고 아직까지 트러블 나는 것이 없어서 괜찮은 것 같애요
57,5,최근에 선쿠션 잘못사서 피부가 안좋아졌었는데 이거는 아무라 발라도 괜찮을거같아요 다음에 또 살게요!최근에 선쿠션 잘못사서 피부가 안좋아졌었는데 이거는 아무라 발라도 괜찮을거같아요 다음에 또 살게요!
