,평점,본문
146,5,굿가격이 저렴하면 좋겠어요
147,5,애가  좋아해요 애가  좋아해요 
148,5,아이가 넘 좋아하네요 일단 순아이가 넘 좋아하네요 일단 순한지 아이한테도 잘 맞구요
149,3,발림성은 좋은데썬크림은 백태현상이 좀 있는편이에요 클렌징은 아직 사용전인데 용량 넉넉해서 맘에들어요발림성은 좋은데썬크림은 백태현상이 좀 있는편이에요 클렌징은 아직 사용전인데 용량 넉넉해서 맘에들어요
150,5,아이가 좋아해요성분 다 검색해보고 샀는데 제일 나은거 같아요 ㅎㅎ아이가 엄마 화장 따라한다고 좋아해요
151,5,배송도 하루만에 오구 너무 좋아배송도 하루만에 오구 너무 좋아요  올여름에 거뜬하게 사용할거같아여
152,5,빠른배송감사합니다빠른배송감사합니다
153,5,아이도 저도 만족하는 제품입니아이도 저도 만족하는 제품입니다 백타도 없고 좋아요 
154,5,아이가 좋아해요 백탁현상은 있아이가 좋아해요 백탁현상은 있습니다 
155,5,아이 선물이에여가격 저렴하게 잘 구마해였습니다!
156,5,믿고 샀어요 여름 내 잘 쓸께요믿고 샀어요 여름 내 잘 쓸께요
157,5,매번쓰던거라 저렴하게 샀어요매번쓰던거라 저렴하게 샀어요
158,5,여름이라 선물하려고 샀어요여름이라 선물하려고 샀어요
159,5,아이가 너무나좋아해요ㅎ아이가 너무나좋아해요ㅎ
160,5,최고예요스틱이 편하긴하지만 아이가 엄마화장품에 관심가지길레 사줬더니 스스로 두드리면서 잘 바르네요바르면 얼굴이 빛나는 느낌?도 나고 향도 좋네요잘 선택한듯해서 만족요많이파세요
161,4,순한 성분이라 구매했어요생각보다 좀 뻑뻑하고 건조하긴한데 쿠션형이라 덧바르는용으로 좋을거같아요순한 성분이라 구매했어요생각보다 좀 뻑뻑하고 건조하긴한데 쿠션형이라 덧바르는용으로 좋을거같아요
162,5,저렴한 가격으로 구매햇고 빠른 배송 넉넉한 유통기한 좋아요저렴한 가격으로 구매햇고 빠른 배송 넉넉한 유통기한 좋아요
163,4,좋아요믿고 쓰는 아토팜이라 좋아요 가격도 저렴하게 잘샀고 케이스가 예뻐서 아이들이 좋아해요
164,5,ㅋㅋㅋ 썬크림 안바르려고해서 ㅋㅋㅋ썬크림 안바르려고해서 사줬는데화장품 바른다고 좋아라하네요작전 성공적
165,5,아이가 너무 좋아해요 화장하는듯 발라요아이가 너무 좋아해요 화장하는듯 발라요
166,5,배송도 빠르고 저렴하게 구매했습니다배송도 빠르고 저렴하게 구매했습니다
167,5,케이스도 이쁘고 발림성도 좋아요케이스도 이쁘고 발림성도 좋아요
168,5,감사합니다 잘쓸께요감사합니다 잘쓸께요
169,5,구성이 너무 조아요구성이 너무 조아요
170,4,딸이 좋아하네요 노란색 좋다며 만족하네요 애기때딸이 좋아하네요 노란색 좋다며 만족하네요 애기때부터 쓰던거라 계속써요
171,4,택배박스는 많이 구겨져있었지만 다행히 제품엔 이상없이 잘받았습니다택배박스는 많이 구겨져있었지만 다행히 제품엔 이상없이 잘받았습니다
172,5,너무 좋습니다용 배송도 빠르고 만족합니다용너무 좋습니다용 배송도 빠르고 만족합니다용
173,5,5살 아이가 직접 썬크림을 바르네요제품 좋아요5살 아이가 직접 썬크림을 바르네요제품 좋아요
174,4,좋습니다여름에 유용하게 잘 쓸  것 같아요좋습니다여름에 유용하게 잘 쓸  것 같아요
175,4,백탁현상 없다는 리뷰 보고 구매했습니다 백탁현상 없다는 리뷰 보고 구매했습니다 
176,5,빠른 배송 깔끔한 포장이 좋습니다빠른 배송 깔끔한 포장이 좋습니다
177,5,샘플도 좋고 애도 너무 좋아해요샘플도 좋고 애도 너무 좋아해요
178,5,배송빠르고 제품좋아요배송빠르고 제품좋아요
179,5,아이랑 같이쓰고있어요아이랑 같이쓰고있어요
180,4,향이 좀 독특해요향이 좀 독특해요
181,5,아이가 제 팩트를 항상 바르고싶어했는데 요거 아이에게 딱이네요아이가 제 팩트를 항상 바르고싶어했는데 요거 아이에게 딱이네요
182,5,아이피부 예민해서 자주 구매해아이피부 예민해서 자주 구매해요딸이 좋아해요
183,5,톡톡톡 남자애긴데 챙겨바르네요톡톡톡 남자애긴데 챙겨바르네요 ㅡㅡ
184,4,빠른배송에 사은품까지 만족합니다빠른배송에 사은품까지 만족합니다
185,5,배송도빠르고친절하세요배송도빠르고친절하세요
186,4,향이 약간 아빠 향수 향이예요향이 약간 아빠 향수 향이예요
187,5,잘받았습니다잘받았습니다잘받았습니다잘받았습니다
188,5,최고예요사은품고맙습니다
189,5,할인폭이 커서 걱정했는데 최근 할인폭이 커서 걱정했는데 최근 제품인거 같아서 좋아요 끈적이지 않고 잘 발려요 타요였는데 새 제품이 나왔군요
190,5,배송도 빠르고 좋네요제품이 좋다고 해서 고르고 샀어요 배송이 정말 빠르고 좋았어요!! 샘플도 넣어주셨고 배송도 빠르고 담에 또 여기서 구매할게요
191,5,애기가좋이헤녕 ㅎㅎ 애기가좋이헤녕 ㅎㅎ 
192,5,아이가 외출전에 톡톡아이가 외출전에 톡톡
193,5,아이가좋아하는캐릭터라서좋아요아이가좋아하는캐릭터라서좋아요
194,5,초등생 딸아이에게 사용하려 구매했어요기존 로션타초등생 딸아이에게 사용하려 구매했어요기존 로션타입바나x보다 피부자극이 덜 한 듯하네요급하게 주문했는데 배송이 빨라서 야외활동 많은 날 제때 사용했네요
195,4,향은 딱히 오래가지않고요 생가보다 좋진않아요크림향은 딱히 오래가지않고요 생가보다 좋진않아요크림형이나 젤형이 제일 잘쓰는거 같아요
196,5,좋아요좋아요
197,5,아이가 엄마 화장품에 관심이많아 구매했어요너무 좋아이가 엄마 화장품에 관심이많아 구매했어요너무 좋아하네요 아토팜은 성분이좋아 믿고쓰는제품이예요
198,5,아이들이좋아하네요  아이들이좋아하네요 
199,5,아이가 패키지를 좋아하고 눌렀아이가 패키지를 좋아하고 눌렀을 때 나오는 양이 적당해서 튜브형 선크림에 비해 양조절이 편해 좋았어요 개인적으로 애들은 쿠션보다는 이런 펌핑형 팩트가 더 위생적이고 좋은 거 같아요 
200,4,아이가 좋아하네요안에 고형인줄 알았는데 썬크림이 들어있음어떻게 짜는지 몰라서 한참 해 봤음아이가 좋아하네요안에 고형인줄 알았는데 썬크림이 들어있음어떻게 짜는지 몰라서 한참 해 봤음
201,5,팩트그림이 귀여워서 딸이 골랐어요사은품도 많이 챙겨주시고너무 잘받았습니다팩트그림이 귀여워서 딸이 골랐어요사은품도 많이 챙겨주시고너무 잘받았습니다
202,5,위생적이고 간편하게 바를 수 있위생적이고 간편하게 바를 수 있어 좋아요 자외선 차단도 확실하네요
203,5,밖을 나갈수가 없어서 아직 써 보진 못했지만 믿고 구매했습니다밖을 나갈수가 없어서 아직 써 보진 못했지만 믿고 구매했습니다
204,5,디자인이 이쁘네요 아이들이 사용하기편해요디자인이 이쁘네요 아이들이 사용하기편해요
205,5,아이들이 너무 좋아해요 저렴하게 잘 샀어요아이들이 너무 좋아해요 저렴하게 잘 샀어요
206,5,항상 아토팜 써요샘플도 많이 주셨네요항상 아토팜 써요샘플도 많이 주셨네요
207,4,향이 좀 이상하지만 아이가 좋아해요향이 좀 이상하지만 아이가 좋아해요
208,3,아이들이 귀엽다고 좋아하더라구요아이들이 귀엽다고 좋아하더라구요
209,5,아이가 넘좋아하네요 맘에들어ㅛ아이가 넘좋아하네요 맘에들어ㅛ
210,5,조슴씩 알맞게 나오니까 좋아요조슴씩 알맞게 나오니까 좋아요
211,5,아이가 너무 좋아합니다아이가 너무 좋아합니다
212,5,사은품도 많고 조아요 ㅎ사은품도 많고 조아요 ㅎ
213,5,아이들이 좋아합니다아이들이 좋아합니다
214,5,아이가 너무좋아해요아이가 너무좋아해요
