,평점,본문
162,4,평소 피부화장을 선크림만 하는 편이라 백탁이 있어도 상관 없었는데 백탁이 있는 것 치곤 뻑뻑한 느낌이 적어서 좋았어요 키즈앤 맘이라 성분도 안심하고 써도 될 것 같아요 ! 바르고 평소 피부화장을 선크림만 하는 편이라 백탁이 있어도 상관 없었는데 백탁이 있는 것 치곤 뻑뻑한 느낌이 적어서 좋았어요 키즈앤 맘이라 성분도 안심하고 써도 될 것 같아요 ! 바르고 깜빡 자고 일어나도 드름 안 난다는
163,5,자연스럽게 하얘지고 좋아요자연스럽게 하얘지고 좋아요
164,5,딸이  좋아하네여  잘쓸께요딸이  좋아하네여 잘쓸께요
165,5,너무 싸게 잘 구입했어요너무 싸게 잘 구입했어요
166,5,예전 노란통 썼었는데 조금 바뀐 것 같은데 전에 것이 더 좋은 것 같긴 해요 이것도 괜찮아요예전 노란통 썼었는데 조금 바뀐 것 같은데 전에 것이 더 좋은 것 같긴 해요 이것도 괜찮아요
167,5,중학생 딸 사 줬어요 저자극이라 안심이예요중학생 딸 사 줬어요 저자극이라 안심이예요
168,5,기름기 없고 좋아요ㅠㅠ 정착템 입니다ㅠㅠㅠ기름기 없고 좋아요ㅠㅠ 정착템 입니다ㅠㅠㅠ
169,5,계속 사용하는 제품이예요 바뀐 곤 아직 안써봤지만계속 사용하는 제품이예요 바뀐 곤 아직 안써봤지만
170,5,항상 사용하는데 부드럽고 좋아요항상 사용하는데 부드럽고 좋아요
171,4,유통기한 넉넉하고 좋아요유통기한 넉넉하고 좋아요
172,4,갠찮은거 같아요 써보게요갠찮은거 같아요 써보게요
173,5,잘왔어욤잘왔어욤
174,5,늘 쓰는 제품 온라인이 싸지여전 요것만 바릅니다 트러블없고 좋아요
175,4,생각보다 백탁이 심하니 아이들이 놀라던걸요ㅋㅋ 트러블이 요즘 많이 나서 샀어요 순하다니 믿고 써봅니다생각보다 백탁이 심하니 아이들이 놀라던걸요ㅋㅋ 트러블이 요즘 많이 나서 샀어요 순하다니 믿고 써봅니다2개의 포토리뷰2개의 포토리뷰
176,4,잘 받았습니다 딸아이가 씁니다잘 받았습니다 딸아이가 씁니다
177,5,항상 쓰는 거에요 여름이라 지수가 좀 더 높은 걸로항상 쓰는 거에요 여름이라 지수가 좀 더 높은 걸로 바꿀까 했는데 순한 이걸로 계속 쓰고 잇어요
178,4,순하고 부드러워서 아이와 함께 쓰고 있습니디ㅣ순하고 부드러워서 아이와 함께 쓰고 있습니디ㅣ
179,5,향이 좋다고 아기가 만족해해요 향이 좋다고 아기가 만족해해요백탁도 없고요
180,5,저렴한가격에 쓰기 딱 좋습니다저렴한가격에 쓰기 딱 좋습니다
181,4,냄새가좋네요잘발리구요냄새가좋아요
182,3,항상쓰는제품이에요 만족항상쓰는제품이에요 만족
