,date
1620,2016
1621,2018
1622,2018
1623,2017
1624,2020
1625,2017
1626,2017
1627,2016
1628,2020
1629,2018
1630,2017
1631,2018
1632,2017
1633,2019
1634,2020
1635,2020
1636,2019
1637,2016
1638,2019
1639,2017
1640,2020
1641,2019
1642,2016
1643,2018
1644,2017
1645,2020
1646,2018
1647,2017
1648,2019
1649,2017
1650,2017
1651,2020
1652,2017
1653,2017
1654,2016
1655,2016
1656,2020
1657,2019
1658,2018
1659,2019
1660,2019
1661,2019
1662,2017
1663,2019
1664,2017
1665,2016
1666,2017
1667,2018
1668,2018
1669,2018
1670,2020
1671,2020
1672,2017
1673,2020
1674,2017
1675,2016
1676,2018
1677,2016
1678,2017
1679,2017
1680,2017
1681,2018
1682,2017
1683,2017
1684,2016
1685,2017
1686,2017
1687,2018
1688,2016
1689,2020
1690,2016
1691,2018
1692,2017
1693,2016
1694,2021
1695,2018
1696,2016
1697,2019
1698,2017
1699,2016
1700,2018
1701,2018
1702,2016
1703,2018
1704,2020
1705,2017
1706,2020
1707,2016
1708,2017
1709,2018
1710,2018
1711,2017
1712,2018
1713,2016
1714,2020
1715,2019
1716,2018
1717,2018
1718,2016
1719,2019
1720,2021
1721,2017
1722,2016
1723,2019
1724,2017
1725,2019
1726,2018
1727,2020
1728,2019
1729,2020
1730,2020
1731,2016
1732,2019
1733,2017
1734,2018
1735,2016
1736,2020
1737,2020
1738,2017
1739,2017
1740,2018
1741,2016
1742,2016
1743,2017
1744,2019
1745,2017
1746,2019
1747,2017
1748,2020
1749,2019
1750,2019
1751,2019
1752,2017
1753,2020
1754,2020
1755,2017
1756,2016
1757,2019
1758,2019
1759,2018
1760,2016
1761,2018
1762,2017
1763,2018
1764,2016
1765,2017
1766,2019
1767,2017
1768,2016
1769,2016
1770,2019
1771,2016
1772,2019
1773,2020
1774,2018
1775,2019
1776,2017
1777,2016
1778,2020
1779,2018
1780,2016
1781,2018
1782,2020
1783,2016
1784,2018
1785,2020
1786,2020
1787,2020
1788,2016
1789,2020
1790,2016
1791,2016
1792,2020
1793,2019
1794,2017
1795,2017
1796,2020
1797,2018
1798,2017
1799,2017
1800,2020
1801,2019
1802,2016
1803,2017
1804,2020
1805,2016
1806,2018
1807,2018
1808,2020
1809,2020
1810,2016
1811,2020
1812,2020
1813,2020
1814,2017
1815,2016
1816,2020
1817,2020
1818,2020
1819,2019
